City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
449,Bintulu,MY,78.8,scattered clouds,3.17,113.03,900 Boutique INN
451,Puerto Escondido,MX,78.8,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
452,Cururupu,BR,86.47,broken clouds,-1.83,-44.87,Pousada Través'cia
454,Lazaro Cardenas,MX,83.34,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
455,Daru,PG,77.61,overcast clouds,-9.08,143.21,New century hotel
456,Yuxia,CN,78.01,clear sky,34.06,108.63,Xinhua Hostel
460,Paraiso,CR,78.8,scattered clouds,9.84,-83.87,Rinconcito Verde
466,Puri,IN,84.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
469,Manokwari,ID,79.65,light rain,-0.87,134.08,Swiss Belhotel Manokwari
470,Dabakala,CI,78.17,moderate rain,8.37,-4.43,Hôtel Campement
472,Gat,IL,87.01,clear sky,31.61,34.76,OlusHome
477,Ojinaga,MX,78.8,clear sky,29.57,-104.42,Suites Las Palmas
478,Caravelas,BR,77.9,light rain,-17.71,-39.25,Pousada dos Navegantes
479,Misratah,LY,82.47,clear sky,32.38,15.09,فندق الماسة
480,Puerto Carreno,CO,86.0,scattered clouds,6.19,-67.49,Casa Hotel Victoria
481,Kadoma,JP,81.0,overcast clouds,34.73,135.58,Hotel Agora Osaka Moriguchi
484,Kulhudhuffushi,MV,82.76,overcast clouds,6.62,73.07,Haajy Guest House 1
488,Makokou,GA,79.83,light rain,0.57,12.86,WAMY RESIDENCE HOTEL
496,Palmer,US,75.99,few clouds,42.16,-72.33,Wedgewood Motel
502,Nargana,PA,85.06,broken clouds,9.44,-78.59,Dubbir
509,El Paso,US,80.01,clear sky,31.76,-106.49,Hilton Garden Inn El Paso / University
512,Tahoua,NE,84.2,few clouds,14.89,5.27,Bungalows Guesthouse
521,Akyab,MM,83.14,overcast clouds,20.15,92.9,Hotel Memory
522,Robertsganj,IN,80.94,heavy intensity rain,24.7,83.07,Prem Hotel Lodge & Restaurant
527,Saint Anthony,US,75.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
529,Zimovniki,RU,76.73,overcast clouds,47.15,42.46,Guest House
530,Cajati,BR,88.11,few clouds,-24.74,-48.12,Hotel Cortesia
532,Manta,EC,77.0,overcast clouds,-0.95,-80.73,Balandra Hotel
536,Lasalgaon,IN,78.87,light rain,20.15,74.23,Dhanraj Hotel
537,Biltine,TD,79.68,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
538,Show Low,US,77.0,clear sky,34.25,-110.03,Hampton Inn & Suites Show Low-Pinetop
540,Half Moon Bay,US,81.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
542,Suez,EG,89.29,clear sky,29.97,32.53,Green House
543,Ghoti,IN,75.61,overcast clouds,19.72,73.62,Dewdrops Boutique Retreat
544,Konongo,GH,84.2,broken clouds,6.62,-1.22,Alice Tee Hotel
546,Caucaia,BR,87.8,clear sky,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
549,Lagos,NG,79.97,broken clouds,6.58,3.75,
551,San Gavino Monreale,IT,82.4,few clouds,39.55,8.79,HOTEL CROCUS
552,Padang,ID,78.35,broken clouds,-0.95,100.35,Mercure Padang
553,Minna,NG,79.18,light rain,9.61,6.56,Royal Park hotel & suites
556,Mindelo,CV,87.8,scattered clouds,16.89,-24.98,Hotel Gaudi
557,Kalofer,BG,82.0,clear sky,42.62,24.98,Хотел Райски кът
559,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
560,Bethalto,US,80.01,overcast clouds,38.91,-90.04,Beth Mor Mobile Park
561,Mattru,SL,78.33,moderate rain,7.62,-11.83,Boima Gbondo's Compound
562,Camacari,BR,82.4,scattered clouds,-12.7,-38.32,Sítio Blasi
567,Lamar,US,82.99,clear sky,33.67,-95.58,Kings Inn Paris TX
571,Ankpa,NG,79.95,overcast clouds,7.37,7.63,AA Suites
572,Lekoni,GA,82.67,broken clouds,-1.58,14.26,Rendez-vous Des ChasseursD
573,Upington,ZA,75.2,few clouds,-28.45,21.26,River Place Manor
574,Khoni,GE,75.2,overcast clouds,42.32,42.42,Hotel Didebuli+
576,Katiola,CI,84.2,scattered clouds,8.13,-5.1,Kakoumani
577,Siddipet,IN,78.28,broken clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
579,Russell,US,82.99,clear sky,32.35,-85.2,Macs
584,Katsuura,JP,78.8,moderate rain,35.13,140.3,Katsuura Hotel Mikazuki
586,Eyl,SO,77.49,scattered clouds,7.98,49.82,Amiin Hotel
594,Montagnana,IT,81.0,light rain,45.23,11.46,Castello Bevilacqua
595,Micheweni,TZ,76.1,clear sky,-4.97,39.83,
596,Mayo,US,81.0,clear sky,38.89,-76.51,Resorts Resource Group International
598,Benghazi,LY,79.9,clear sky,32.12,20.07,Tibesti Hotel
602,Karachi,PK,84.2,scattered clouds,24.91,67.08,Hillside Homes
